isbn13,isbn10,title,subtitle,authors,categories,description,published_year,average_rating,num_pages,ratings_count
978000200588,0002005883,gilead,,marilynne robinson,fiction,a novel that readers and critics have been eagerly anticipating for over a decade gilead is an astonishingly imagined story of remarkable lives john ames is a preacher the son of a preacher and the grandson both maternal and paternal of preachers its 1956 in gilead iowa towards the end of the reverend amess life and he is absorbed in recording his familys story a legacy for the young son he will never see grow up haunted by his grandfathers presence john tells of the rift between his grandfather and his father the elder an angry visionary who fought for the abolitionist cause and his son an ardent pacifist he is troubled too by his prodigal namesake jack john ames boughton his best friends lost son who returns to gilead searching for forgiveness and redemption told in john amess joyous rambling voice that finds beauty humour and truth in the smallest of lifes details gilead is a song of celebration and acceptance of the best and the worst the world has to offer at its heart is a tale of the sacred bonds between fathers and sons pitchperfect in style and story set to dazzle critics and readers alike,2004.0,3.85,247.0,361.0
978000226198,0002261987,spiders web,A Novel,charles osborneagatha christie,detective and mystery stories,a new christie for christmas  a fulllength novel adapted from her acclaimed play by charles osborne following black coffee and the unexpected guest comes the final agatha christie play novelisation bringing her superb storytelling to a new legion of fans clarissa the wife of a foreign office diplomat is given to daydreaming supposing i were to come down one morning and find a dead body in the library what should i do she muses clarissa has her chance to find out when she discovers a body in the drawingroom of her house in kent desperate to dispose of the body before her husband comes home with an important foreign politician clarissa persuades her three house guests to become accessories and accomplices it seems that the murdered man was not unknown to certain members of the house party but which ones and the search begins for the murderer and the motive while at the same time trying to persuade a police inspector that there has been no murder at all spiders web was written in 1954 specifically for margaret lockwood and opened first at the theatre royal nottingham before moving to the savoy theatre in london on 14 december 1954 with the mousetrap and wi,2000.0,3.83,241.0,5164.0
978000616383,0006163831,the one tree,,stephen r donaldson,american fiction,volume two of stephen donaldsons acclaimed second trilogy featuing the compelling antihero thomas covenant,1982.0,3.97,479.0,172.0
978000617873,0006178731,rage of angels,,sidney sheldon,fiction,a memorable mesmerizing heroine jennifer  brilliant beautiful an attorney on the way up until the mafias schemes win her the hatred of an implacable enemy  and a love more destructive than hate a dangerous dramatic world the dark arena of organized crime and flashbulb lit courtrooms where ambitious prosecutors begin their climb to political power,1993.0,3.93,512.0,29532.0
978000628089,0006280897,the four loves,,clive staples lewis,christian life,lewis work on the nature of love divides love into four categories affection friendship eros and charity the first three come naturally to humanity charity however the giftlove of god is divine and without this supernatural love the natural loves become distorted and even dangerous,2002.0,4.15,170.0,33684.0
978000628093,0006280935,the problem of pain,,clive staples lewis,christian life,in the problem of pain cs lewis one of the most renowned christian authors and thinkers examines a universally applicable question within the human condition if god is good and allpowerful why does he allow his creatures to suffer pain with his signature wealth of compassion and insight cs lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungering for a true understanding of human natureamazon,2002.0,4.09,176.0,37569.0
978000635328,0006353282,an autobiography,,agatha christie,authors english,donation,1977.0,4.27,560.0,3975.0
978000638083,0006380832,empires of the monsoon,A History of the Indian Ocean and Its Invaders,richard hall,africa east,until vasco da gama discovered the searoute to the east in 14979 almost nothing was known in the west of the exotic cultures and wealth of the indian ocean and its peoples it is this civilization and its destruction at the hands of the west that richard hall recreates in this book halls history of the exploration and exploitation by chinese and arab travellers and by the portuguese dutch and british alike is one of brutality betrayal and colonial ambition,1998.0,4.41,608.0,65.0
978000647022,000647022X,the gap into madness,Chaos and Order,stephen r donaldson,hyland morn fictitious character,a newcover reissue of the fourth book in the bestselling fivevolume sf series created by the worldfamous author of the thomas covenant chronicles  and acclaimed as the best work of his career events were not moving as the amnion had intended once again humans had been false in their dealings with the aliens as the planetoid thanatos minor exploded into atoms the trumpet hurtled into space only one step ahead of hostile pursuers on board were morn hyland and her forcegrown son davies cyborg angus thermopyle and captain nick succorso  old enemies thrown together in a desperate bid for survival for both the amnion and the umcp the immediate capture of the fleeing ship and the secrets it contained was imperative but for trumpets exhausted crew the only hope lay in an illegal lab in the distant binary solar system of valdor industrial it would be a journey of unpredictable danger  from which not all would return,1994.0,4.15,743.0,103.0
978000647261,0006472613,master of the game,,sidney sheldon,adventure stories,kate blackwell is an enigma and one of the most powerful women in the world but at her ninetieth birthday celebrations there are ghosts of absent friends and absent enemies,1982.0,4.11,489.0,43540.0
